day,rule,regime,hour,fA,fB,fC,fD,fE,fF
7,Q-Learning,No-Charge,20,194867.39850215122,236551.00220754102,481071.6975022311,302568.2399368325,142860.99607249815,623286.7263787786
7,Q-Learning,No-Charge,21,235100.44248440547,373374.43881436036,273363.55834324844,136544.8861289325,61259.43889353771,207387.9315280126
7,Q-Learning,No-Charge,22,341096.0625229192,251623.76153030584,90849.6805038991,35071.56669299513,21305.0869864132,81940.24701381137
7,Q-Learning,No-Charge,23,348314.6936741467,106416.78758385444,35416.83393247813,15427.072429122149,3682.312528395677,36548.77352492994
7,Q-Learning,No-Charge,0,332838.9744223586,95659.06662589645,28740.069263665657,12384.789351504503,4470.256071962644,36370.18384303883
7,Q-Learning,No-Charge,1,339144.8147093187,109965.20806435715,40964.08957724739,26357.640013589153,6447.73049259439,40109.74033314264
7,Q-Learning,No-Charge,2,330342.65713203885,91687.09055401314,44428.346039128905,21085.77950610451,4816.235520757848,32671.584555451434
7,Q-Learning,No-Charge,3,298972.82517573674,71577.18424076113,19363.040639869483,10376.06936116279,5077.687429851947,15795.038801259414
7,Q-Learning,No-Charge,4,294722.8751063142,68996.22126341434,24729.615798249768,3336.0665499888573,2527.3224442077717,27379.2580924491
8,Q-Learning,No-Charge,5,99821.0098094546,15127.683570990479,3723.617096224331,511.86346923699284,89.19496095722012,239.1839233651863
8,Q-Learning,No-Charge,6,305492.7691404033,145693.96837124825,68721.51757591289,33580.264700894244,9637.800047648283,40374.58109903659
8,Q-Learning,No-Charge,7,207636.7473988164,277381.5229388305,396012.2572640876,225830.06584272286,137650.66029817224,456514.4392130954
8,Q-Learning,No-Charge,8,125605.2050483658,219851.79304843216,219260.22107468647,365924.8570392124,315360.94542873534,2166967.6496736766
8,Q-Learning,No-Charge,9,87246.70119014678,189833.1670152695,224282.13041575413,194020.26359054173,169716.16344814192,3834843.776653591
8,Q-Learning,No-Charge,10,109116.11376047102,185539.05040469198,202983.12499827836,249102.83716603965,244648.64277689124,3225168.1517591705
8,Q-Learning,No-Charge,11,140163.09265960587,198663.9873074366,275880.17502015014,360304.7917695688,282458.910142022,1998791.106180462
8,Q-Learning,No-Charge,12,177078.50444336448,245391.93055136735,399534.1929329566,324943.72292392637,256800.9373840287,1022473.7412013608
8,Q-Learning,No-Charge,13,175805.01343730697,269293.43782956095,371132.7830580237,413000.751517298,139664.69971515363,729592.2655405562
8,Q-Learning,No-Charge,14,179107.84770124615,221794.01855502868,384893.84494077496,377950.49832791655,234658.07163106996,742575.2774408861
8,Q-Learning,No-Charge,15,194148.20412522613,240247.737116046,413226.06014657766,395153.44441750273,156057.74184502152,573783.0463305911
8,Q-Learning,No-Charge,16,189210.84800270377,220101.36053224423,346363.736979075,444460.8391696957,250861.23099629785,859285.6517556102
8,Q-Learning,No-Charge,17,154700.52956380247,186108.53026002413,333976.49183984665,378154.7673834585,285642.53777988255,1663536.817617283
8,Q-Learning,No-Charge,18,138499.59452249474,197887.59669892731,194294.49857821278,440881.2510863925,385318.7396184873,1891034.9216882463
8,Q-Learning,No-Charge,19,160852.09552685407,172373.8190349426,308437.4752533283,445964.3284378751,291321.89992991264,1376621.5754618067
8,Q-Learning,No-Charge,20,190457.0821475639,254166.70573373913,376132.4713698103,350888.52074966935,172710.70549479843,645619.060042643
8,Q-Learning,No-Charge,21,226877.06340610897,333063.1501141659,339081.948791751,156368.91896574674,105510.36214618247,314402.89747683547
8,Q-Learning,No-Charge,22,330230.68618980405,279695.8950196264,148966.82190830467,84962.88039338162,36960.1452969252,107491.15872738419
8,Q-Learning,No-Charge,23,356139.7252075277,131774.0263969601,80113.55410713318,27119.821622390245,3699.178415413981,47547.31422747416
8,Q-Learning,No-Charge,0,325181.63751436386,98242.18484721304,41884.00276703538,8582.309255694501,2997.9744589712923,33427.07685298151
8,Q-Learning,No-Charge,1,311681.77315325005,50465.54561775647,27840.303844436585,9757.028301394006,3664.3946923690423,26408.173374778646
8,Q-Learning,No-Charge,2,298137.4516735556,38260.736923049546,12267.206260679139,10127.570992286503,6899.849861939629,20960.451652707492
8,Q-Learning,No-Charge,3,277535.70150948607,21807.189732789007,6360.79485180604,2132.3618365443895,6577.6255282863785,18985.788191969732
8,Q-Learning,No-Charge,4,262030.28059486713,42819.88641082221,8483.71869652601,5918.040158024913,6059.982899178012,12687.074031816544
9,Q-Learning,No-Charge,5,123770.95675832062,12297.063820091906,6964.434448145635,3372.6408991872454,523.5006124248173,1227.4830375096176
9,Q-Learning,No-Charge,6,332391.0222425751,180873.55340024433,80623.0521562495,55115.51328802593,44137.151066108665,68879.50820336438
9,Q-Learning,No-Charge,7,207621.1508239502,252697.34584294196,386277.5172326377,263095.3273223833,165832.53549271682,517787.1090031473
9,Q-Learning,No-Charge,8,130085.66355601551,181663.05102227215,220359.9217886204,318373.71050918254,254187.6225693088,2597937.180579774
9,Q-Learning,No-Charge,9,92513.76049769632,139411.4543928269,242872.82824251964,223607.6141439602,196266.52969190115,4107354.450539322
9,Q-Learning,No-Charge,10,113096.6348935262,174855.34925111444,202815.30920506653,283596.87173234974,188506.38210581598,3482248.334844527
9,Q-Learning,No-Charge,11,152715.63720954585,176929.39728227476,271795.60695949965,324189.05024086434,270537.78002664994,2270612.066633309
9,Q-Learning,No-Charge,12,182021.66774375917,173370.02827236365,427914.21079276013,257774.99899626945,225027.4811927462,1349111.5454733253
9,Q-Learning,No-Charge,13,198532.72091314293,248902.965645484,344340.537242348,284535.5172287814,279613.2404051913,674395.1536061749
9,Q-Learning,No-Charge,14,211969.5282788403,267047.9928164645,336613.3135339441,390602.2124600487,152374.36675883998,470249.18529345095
9,Q-Learning,No-Charge,15,205251.339210843,161490.58661586477,425253.77542917366,419223.8163152247,228515.12915754705,611912.0851820131
9,Q-Learning,No-Charge,16,192889.4341860168,136559.43548340636,329774.45087657723,514099.6978174146,300696.2496890336,893416.3723265437
9,Q-Learning,No-Charge,17,150264.94108649628,187763.47438157952,193283.93565355436,388909.179050843,335877.2032101479,1833797.1141886672
9,Q-Learning,No-Charge,18,132849.81476818,216879.74981986603,183519.98157696298,354964.25290691206,292047.61634063534,2219425.602133792
9,Q-Learning,No-Charge,19,153518.82655445373,180314.79470435908,281290.0694875268,382193.49557196896,258832.39274839213,1788280.303765775
9,Q-Learning,No-Charge,20,192671.37469131628,249857.49372021796,373215.1945665921,363701.18066150555,182641.7797196081,710083.2175376966
9,Q-Learning,No-Charge,21,256614.43983125236,309505.9453772435,291303.98160115106,121798.11522007358,68332.90793526787,180963.6225477833
9,Q-Learning,No-Charge,22,346684.53923346114,248022.3876068214,96944.05069310866,59597.19826624519,17234.239669426446,89674.80193910423
9,Q-Learning,No-Charge,23,403215.29979202297,124836.36637425655,52408.30981106607,18547.16982148289,12278.400354335883,50380.07577679059
9,Q-Learning,No-Charge,0,362251.3343350618,63622.90521682527,24912.616324953608,15425.90055456728,1677.0438271406003,33758.70999939984
9,Q-Learning,No-Charge,1,321922.307988268,69912.6707341187,20425.416136278804,5129.864035763969,7515.285319217986,23299.60444686985
9,Q-Learning,No-Charge,2,287736.8339463366,69095.23864656048,16314.872892577598,8495.570192462792,4812.444366276029,14257.864662957627
9,Q-Learning,No-Charge,3,330657.7711923655,75571.1101579687,23159.938169756293,5154.017901297792,5649.419084697103,25703.56322673157
9,Q-Learning,No-Charge,4,295671.3865446747,60123.01110571865,12097.923415336614,3871.7252207304236,7981.6392078495865,17839.57551800643
10,Q-Learning,No-Charge,5,146376.06052256332,20355.3429538239,8936.04484730075,4534.837583562408,2453.0644019132865,3392.8259917824926
10,Q-Learning,No-Charge,6,360159.7740852443,139808.84568029866,69239.65384005956,37287.067378284555,18730.358177619866,56192.30263161011
10,Q-Learning,No-Charge,7,223671.58900008036,274518.2264514894,376355.4653078237,249671.72528501184,124534.26709336013,463754.7544928207
10,Q-Learning,No-Charge,8,145344.71799878773,178320.22349684214,210506.65894530856,328451.4698326109,307442.92525967467,2263532.879651193
10,Q-Learning,No-Charge,9,113093.05343280044,168503.47878225445,193161.61678330495,176798.4213909107,131645.18114458746,3903248.8179321773
10,Q-Learning,No-Charge,10,114286.93850281711,200730.3376124175,179667.61847631328,213896.06208580377,195472.24319673836,3448412.4723445065
10,Q-Learning,No-Charge,11,134845.68579094033,209076.46214024327,240639.39836724545,365631.5923869995,258087.9865962461,2132359.2118111295
10,Q-Learning,No-Charge,12,181386.94789965867,198754.8933781673,369384.84234533826,352636.7580617448,207837.31841758953,1194142.636758997
10,Q-Learning,No-Charge,13,215475.34684914755,241469.5915534559,346195.25245241734,345878.02271679894,186625.8808511996,656512.5445845055
