day,rule,regime,hour,fA,fB,fC,fD,fE,fF
5,Exp-Decay,No-Charge,1,326849.21315083595,103923.96385836788,59760.396406348074,18882.865216434428,3929.445721228375,30781.46086741579
5,Exp-Decay,No-Charge,2,359526.00222490577,95708.52614577013,62534.038951456474,47574.728020302195,5624.2389999471625,40739.98057303229
5,Exp-Decay,No-Charge,3,333810.8611792101,110816.96240143808,74351.93413799354,26319.374157352206,5767.692351748336,34549.59597150153
5,Exp-Decay,No-Charge,4,320821.96239857166,101181.78551535567,45897.4795276047,11741.092879017466,11042.674695232368,24696.948632350268
6,Exp-Decay,No-Charge,5,123207.53109480107,12851.131179229982,4939.119838275981,3376.408206929911,929.6117213699283,5064.92633473068
6,Exp-Decay,No-Charge,6,299276.2106695256,215652.3730994712,133268.19562836885,82352.01755930025,48281.98758803819,149441.64237477013
6,Exp-Decay,No-Charge,7,156417.4715769904,222106.60942424307,342684.57727755996,325459.13278922054,210623.6194945641,1367293.5253948327
6,Exp-Decay,No-Charge,8,106910.09855543441,131545.69469917304,210136.22022946912,273187.5155768616,245919.63336745862,3801798.1401984747
6,Exp-Decay,No-Charge,9,68437.29280640827,142875.70925447333,222870.57036347545,289453.8255205404,192484.1263055241,4908537.882136338
6,Exp-Decay,No-Charge,10,94066.6430354055,169001.88651780566,256156.77639285673,294803.06849739194,133406.09799947788,3906867.920543079
6,Exp-Decay,No-Charge,11,141990.1859093124,190149.57575365147,221124.1292341835,260193.61100025417,262095.13835608645,2592580.737627227
6,Exp-Decay,No-Charge,12,177393.89844153763,166493.1079617288,284548.0197106195,405199.5945786361,248069.70900659,1623804.0070827652
6,Exp-Decay,No-Charge,13,184158.9195808202,193974.5771950247,351361.76394515333,336598.79219134385,229462.03933154733,1447385.5385589632
6,Exp-Decay,No-Charge,14,167938.6710188811,217767.02905269855,349731.7700174144,339901.2309066986,273645.7178193966,1468454.250813799
6,Exp-Decay,No-Charge,15,160315.95870939293,217946.14621257572,399300.4026426344,275760.465571839,333846.39017190627,1227065.258854361
6,Exp-Decay,No-Charge,16,135320.32355716056,217160.57018435854,293211.62041801785,343702.29945044685,323721.7209322102,1686931.113495196
6,Exp-Decay,No-Charge,17,130631.86652138924,158262.22230654096,264882.80869921896,303063.24803716247,194459.79755197384,2796923.831856385
6,Exp-Decay,No-Charge,18,125183.95798467785,136668.4081728151,261739.0382656621,257484.94140347184,245527.3593551189,3169681.7974983035
