"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"equity-quintile"
"08/07/2026 14:37:20:131 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","transit-penalty","n-sim-days","control-seed?","current-seed","[step]","current-sim-day","peak-vc-inner","optin-q 1","optin-q 2","optin-q 3","optin-q 4","optin-q 5","optin-tier 1","optin-tier 2","burden-quintile 1","burden-quintile 5","mean [fee-paid-today] of vehicles"
"6","Q-Learning","tou","0","14","true","11","6","6","0.10011920414371005","0.3344370860927152","0.370242214532872","0.3872053872053872","0.3310104529616725","0.3446153846153846","0.3373702422145329","0.3633405639913232","1.0738828657720794","0.21621116831056233","0.9832"
"2","Exp-Decay","tou","0","14","true","11","6","6","0.11167689108757765","0.27483443708609273","0.33217993079584773","0.3602693602693603","0.4878048780487805","0.49846153846153846","0.38581314878892736","0.3958785249457701","1.0677592567981085","0.21930803961229092","1.1256"
"5","Q-Learning","No-Charge","0","14","true","11","6","6","0.12023236551489447","0.5298013245033113","0.4913494809688581","0.5959595959595959","0.5052264808362369","0.5784615384615385","0.5224913494809689","0.5531453362255966","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","6","6","0.11723270989517472","0.5397350993377483","0.4982698961937716","0.5488215488215489","0.5470383275261324","0.49230769230769234","0.5259515570934256","0.5238611713665944","0","0","0"
"4","El Farol","tou","0","14","true","11","6","6","0.16765041534693545","0.956953642384106","0.9273356401384083","0.9528619528619529","0.9094076655052264","0.9446153846153846","0.9377162629757786","0.9392624728850325","1.195401241221591","0.22073217645466747","2.728"
"3","El Farol","No-Charge","0","14","true","11","6","6","0.16505252272038715","0.9337748344370861","0.9273356401384083","0.9562289562289562","0.9407665505226481","0.916923076923077","0.9204152249134948","0.9436008676789588","0","0","0"
"6","Q-Learning","tou","0","14","true","11","7","7","0.08289363507368541","0.3079470198675497","0.30103806228373703","0.29292929292929293","0.2857142857142857","0.3261538461538461","0.29411764705882354","0.3091106290672451","1.1755858252831914","0.21235838567902038","0.836"
"2","Exp-Decay","tou","0","14","true","11","7","7","0.0956741950003585","0.24172185430463577","0.3633217993079585","0.41414141414141414","0.4425087108013937","0.48923076923076925","0.4031141868512111","0.3839479392624729","1.0902104892218731","0.22509689846106584","1.1216"
"5","Q-Learning","No-Charge","0","14","true","11","7","7","0.102299627500858","0.5231788079470199","0.4982698961937716","0.4781144781144781","0.49477351916376305","0.5876923076923077","0.5346020761245674","0.5075921908893709","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","7","7","0.12305363710333814","0.5562913907284768","0.5086505190311419","0.5858585858585859","0.554006968641115","0.5138461538461538","0.5415224913494809","0.544468546637744","0","0","0"
"4","El Farol","tou","0","14","true","11","7","7","0.15049880136278176","0.9304635761589404","0.9238754325259516","0.9326599326599326","0.9128919860627178","0.9076923076923077","0.9273356401384083","0.9175704989154013","1.1978330833311177","0.22304117945627402","2.6624"
"3","El Farol","No-Charge","0","14","true","11","7","7","0.18232368977536134","0.8940397350993378","0.9688581314878892","0.9225589225589226","0.926829268292683","0.9261538461538461","0.9307958477508651","0.9251626898047722","0","0","0"
"6","Q-Learning","tou","0","14","true","11","8","8","0.0810480701758994","0.30132450331125826","0.32525951557093424","0.31313131313131315","0.313588850174216","0.29846153846153844","0.31833910034602075","0.3047722342733189","1.1258642521333229","0.20826209335429474","0.8512"
"2","Exp-Decay","tou","0","14","true","11","8","8","0.10587518845092354","0.25496688741721857","0.3460207612456747","0.4276094276094276","0.44947735191637633","0.48615384615384616","0.3875432525951557","0.39804772234273317","1.1209825657707628","0.21485521879864636","1.1104"
"5","Q-Learning","No-Charge","0","14","true","11","8","8","0.09404078768741456","0.5165562913907285","0.5190311418685121","0.5488215488215489","0.5818815331010453","0.5938461538461538","0.5346020761245674","0.5639913232104121","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","8","8","0.11424788896488958","0.5794701986754967","0.49480968858131485","0.5420875420875421","0.5261324041811847","0.5046153846153846","0.5259515570934256","0.5314533622559653","0","0","0"
"4","El Farol","tou","0","14","true","11","8","8","0.1739997340271689","0.9172185430463576","0.9204152249134948","0.9292929292929293","0.9303135888501742","0.9538461538461539","0.9186851211072664","0.938177874186551","1.140303155172015","0.21588870090946877","2.62"
"3","El Farol","No-Charge","0","14","true","11","8","8","0.15235157045399064","0.9403973509933775","0.9065743944636678","0.9427609427609428","0.9407665505226481","0.92","0.9117647058823529","0.9414316702819957","0","0","0"
"6","Q-Learning","tou","0","14","true","11","9","9","0.09745421967407844","0.26490066225165565","0.2906574394463668","0.2996632996632997","0.23344947735191637","0.2923076923076923","0.28546712802768165","0.27114967462039047","1.1419035685515575","0.19772455737036473","0.7528"
