"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"rerouting"
"07/28/2026 06:02:25:027 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-rerouting?","allow-retiming?","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","count vehicles with [enters-cbd? = true]","table:length path-cache","peak-ef-cbd","peak-ef-mwy","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""MWY"""
"1","Exp-Decay","No-Charge","true","false","14","9","9","0.1762186417216151","0.23681601274622846","0.08626288828538507","779","5266","92.84326177970428","89.02868623044657","86.16134643164584","58.89032549614062"
"5","Q-Learning","No-Charge","true","false","14","9","9","0.12995548748496838","0.19838791495022165","0.05465239551692281","800","5329","96.54741406917329","86.2826955285429","81.32204118697595","38.98818907709939"
"6","Q-Learning","tou","true","false","14","10","10","0.08031657952900507","0.10121824794287283","0.05543967866990104","444","4413","83.22204161553483","81.1489998729688","76.40645927982942","47.117698395896305"
"2","Exp-Decay","tou","true","false","14","10","10","0.1330150996133202","0.18651068142300992","0.07712405188576893","610","4859","94.80310298900235","53.87581651403288","79.38874264453042","28.3080074862248"
"4","El Farol","tou","true","false","14","8","8","0.2462627544491876","0.627146982900811","0.1011787216963914","1383","6911","98.45963801392644","90.16751617621897","95.42978940687074","72.18778411918709"
"3","El Farol","No-Charge","true","false","14","8","8","0.42802345124391084","0.2932783225104106","0.1386291284189576","1388","6880","97.29700028247353","91.55811335469821","92.34831494199045","65.63998606123351"
"1","Exp-Decay","No-Charge","true","false","14","10","10","0.1819166260000255","0.27553440925863076","0.06869720763201802","809","5323","91.73458356299805","86.27194414727667","86.49449851760825","63.851788322892574"
"6","Q-Learning","tou","true","false","14","11","11","0.09920433697936651","0.07780654386862766","0.04836894332918141","407","4328","82.72105638097337","75.44342828761914","73.78704319385503","47.288058188926264"
"5","Q-Learning","No-Charge","true","false","14","10","10","0.15391547294471117","0.19065578763384405","0.06695525168669504","811","5406","94.39471544585531","90.24514152027454","83.42550875265529","40.04836605448853"
"2","Exp-Decay","tou","true","false","14","11","11","0.13168507318110062","0.1670600502667911","0.06453393635844576","609","4844","93.10854168018109","81.18181206627132","80.02938283868912","28.320755452677865"
"6","Q-Learning","tou","true","false","14","12","12","0.10061119802306864","0.11175144828524801","0.043079763914237276","353","4155","89.78161660860661","71.4118005785346","73.28339748078591","40.84383234527357"
"4","El Farol","tou","true","false","14","9","9","0.23313975956688834","0.530534866276414","0.127720552533267","1375","6834","98.6463852210478","92.67056735459524","95.71399740856866","75.02017639693345"
"1","Exp-Decay","No-Charge","true","false","14","11","11","0.1265449460548067","0.19530033263635885","0.0649501842733678","775","5298","94.03805185453976","88.85930730719349","86.32340042709095","64.00623661144806"
"5","Q-Learning","No-Charge","true","false","14","11","11","0.17186413402687822","0.2510417763236784","0.06947010332882494","802","5351","95.46351607240985","86.27590254100485","82.66602297158126","39.31717272965959"
"3","El Farol","No-Charge","true","false","14","9","9","0.2261019980735408","0.5273075287008631","0.11714581884162184","1370","6891","98.09529712266463","89.78449139128792","92.61474665474529","64.12787188650952"
"2","Exp-Decay","tou","true","false","14","12","12","0.11201893612543487","0.13203922088326034","0.057010598325585554","615","4856","93.29147263239173","77.03178060227097","80.83046386977121","28.61621092594723"
"6","Q-Learning","tou","true","false","14","13","13","0.10240541171942859","0.14058996770602256","0.047165875918815305","370","4199","94.29486097473772","82.10377725750415","71.69231959653966","41.35353576431859"
"1","Exp-Decay","No-Charge","true","false","14","12","12","0.1769149127824921","0.2444303745297152","0.07168584108983364","801","5331","93.87523182617409","89.84756122541476","88.62375441634552","64.08128214050356"
