"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"akl_traffic.nlogo"
"paper-figs"
"08/06/2026 04:31:00:197 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"6","Q-Learning","tou","14","3","3","0.11214837710042055","0.5217773855205381","0.08438195675773415","93.18066382824404","89.33232384113455","90.81594972496451","86.09120093523819","86.63052926755606","80.0713152494671","84.75258425258035","83.53536812441278"
"5","Q-Learning","No-Charge","14","3","3","0.1480819619967943","0.5186048796917587","0.08251417966536041","93.35525834365922","89.56513391057759","90.49196839864969","84.89559104658468","86.62892313157467","80.96413542646587","84.8652357348764","83.52515609308212"
"1","Exp-Decay","No-Charge","14","3","3","0.11096183780942157","0.5784274315086452","0.08752380772201265","93.66788612971646","86.61846541462975","90.76111675250948","85.30063714644047","86.50304842070946","82.31785691139564","86.37594913526257","83.42142917445638"
"4","El Farol","tou","14","3","3","0.1810421005126604","0.8047648463621918","0.1570559691495","94.80927783469514","94.46269445790274","92.70051022239534","86.73267014669592","90.44570583858692","87.79993355248695","89.49089393934102","84.4280714328128"
"3","El Farol","No-Charge","14","3","3","0.17189700341787462","0.7730297261866759","0.1509498261939738","95.07211597537118","93.66584510596003","92.70516177554619","86.05192938964676","91.08308739880232","87.52474464635381","89.3588743157116","85.09972566516775"
"2","Exp-Decay","tou","14","4","4","0.07475237388383282","0.47630455751437095","0.08600377610139884","92.6968754282514","82.20739843611572","91.6530539045002","88.06663182879664","86.66723661266073","75.24504643088109","83.25303220664692","83.156739558864"
"6","Q-Learning","tou","14","4","4","0.11034559396121439","0.5044614713810618","0.07835561945475061","92.43779830193772","84.30667860720631","91.86495456052667","86.75372802199006","86.48371700615061","80.35498036457673","84.12621117319796","83.73726006536681"
"5","Q-Learning","No-Charge","14","4","4","0.1093046994075378","0.5803369601274648","0.0971987226740995","94.57570987863048","90.09727614525463","91.64240464889481","88.25820160892798","90.33812902296046","80.00479119445382","84.96935817557585","83.76771990560003"
"1","Exp-Decay","No-Charge","14","4","4","0.12878386363581742","0.5747096949661838","0.0973859525923874","92.49551928861457","89.7462490189511","91.96549220056271","86.53184228831542","88.3907695237592","82.17499482469877","86.10674086838988","83.68477856880607"
"4","El Farol","tou","14","4","4","0.1793703142601234","0.7906892383804437","0.10384529194762768","94.56612135303003","93.07973254822079","91.48709419921799","85.97043107745624","91.13279957808211","88.31280234562279","89.32565026016292","83.77708229640359"
"3","El Farol","No-Charge","14","4","4","0.18794398754579628","0.7979869742867144","0.12738457204667256","94.92007849780849","94.33370953833852","94.13089872024453","87.34411813654519","91.63170704731417","87.820138581923","89.14427463403925","85.13392718575453"
"2","Exp-Decay","tou","14","5","5","0.10141478210647199","0.5064911112307429","0.08473771942545252","92.48643939267392","85.5611080873804","89.69915142497686","86.1700835571896","86.5765803330988","75.5175474818586","82.86094649008514","83.27285916957652"
"6","Q-Learning","tou","14","5","5","0.07395739381081641","0.3890711612170877","0.07815924274224921","92.68144275762101","82.15965978787476","91.90352687701461","86.91788825756016","86.46114460443299","79.47943681468946","84.13835366103835","83.66542750800983"
"5","Q-Learning","No-Charge","14","5","5","0.12910370085716866","0.5169464601337033","0.10897374665886116","94.28336874607156","87.39253202261736","92.50855378023064","87.18765278985603","90.32789401428086","81.73514053722882","84.75782620476512","84.649526911951"
