"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-kfactor"
"07/25/2026 18:53:33:510 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","k-factor","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"2","Exp-Decay","No-Charge","0.1","14","5","0.10903699186543056","5","0.44484049503663947","0.08480659066531832","92.48736579711846","87.96950150373064","87.85283192070729","84.72215799718565","75.88632423374773","82.59562857759063","84.06295960674689","79.54792302487618"
"3","Exp-Decay","No-Charge","0.12","14","5","0.10903699186543056","5","0.44484049503663947","0.08480659066531832","90.72985683751432","82.76241519284709","84.86612833741201","82.75060380771482","50.80086536182709","75.89270105797824","75.218500646439","69.05146667478274"
"1","Exp-Decay","No-Charge","0.08","14","5","0.10903699186543056","5","0.44484049503663947","0.08480659066531832","95.58177735284451","92.79201049328901","91.98228943096453","87.52362901851865","91.09350553677984","85.85016169190796","87.16500645819563","85.09842182860993"
"5","Exp-Decay","tou","0.1","14","6","0.10315747828655955","6","0.2788854045546148","0.0769684056985562","91.85940339272547","81.79132789475071","83.22967039883225","81.70912650463214","62.1036679933926","74.02540190137982","76.86863817617537","76.82221188402592"
"6","Exp-Decay","tou","0.12","14","6","0.10315747828655955","6","0.2788854045546148","0.0769684056985562","85.11363338877337","79.80695020117898","80.25096574650937","77.66711218681671","31.376737395722433","67.0901936215791","70.41223036421854","67.95330697835185"
"4","Exp-Decay","tou","0.08","14","6","0.10315747828655955","6","0.2788854045546148","0.0769684056985562","94.43503122510404","85.76147421394838","88.66829007379079","86.00006995627375","85.89170926763683","82.45458464311213","85.504893339371","82.33445506722934"
"2","Exp-Decay","No-Charge","0.1","14","6","0.1222052144158057","6","0.3050550342383742","0.06978064234107163","91.19592879040671","87.0400543040258","85.68981284723387","82.51426658135104","74.38634039654517","83.62425758900665","85.71595929274773","79.70536788718195"
"3","Exp-Decay","No-Charge","0.12","14","6","0.1222052144158057","6","0.3050550342383742","0.06978064234107163","81.43622994100953","83.18390646990798","84.25828766043145","80.70052323068956","50.742616752453834","76.13356926256704","76.00088826107496","68.35948895606147"
"1","Exp-Decay","No-Charge","0.08","14","6","0.1222052144158057","6","0.3050550342383742","0.06978064234107163","93.57600242112525","89.96620900818024","89.80496067288439","84.32227620581573","91.08853790350572","85.70269339794487","86.95689396213375","84.99538951803964"
"5","Exp-Decay","tou","0.1","14","7","0.07440798510073125","7","0.19986491614287563","0.05943273687668806","86.32929716543245","81.95770580505454","83.899110040493","81.3471749542188","61.89145000388035","72.1996291731874","77.10402296454585","76.3706779191138"
"6","Exp-Decay","tou","0.12","14","7","0.07440798510073125","7","0.19986491614287563","0.05943273687668806","84.75924500023099","77.03259792568767","75.2449398219964","77.45504492433467","28.048526791174638","66.39414320359684","69.88276907667219","66.87125007712048"
"4","Exp-Decay","tou","0.08","14","7","0.07440798510073125","7","0.19986491614287563","0.05943273687668806","93.28937765052137","88.55468770663822","86.96374252475692","84.93368077960066","85.88587126701505","81.44998834018277","85.38370984417506","82.278546474812"
"2","Exp-Decay","No-Charge","0.1","14","7","0.1243912684567755","7","0.353800168217534","0.07856821057130829","92.14687605728899","85.67719784258573","87.07801292962263","83.59096682254594","74.2689318677039","83.18477722679363","85.07568968443648","79.40651883306684"
"3","Exp-Decay","No-Charge","0.12","14","7","0.1243912684567755","7","0.353800168217534","0.07856821057130829","90.37643300367326","81.25724734250257","84.29805835653644","81.2648780372169","46.96008440838669","75.88902347532257","76.1867407361791","68.2212913104559"
"1","Exp-Decay","No-Charge","0.08","14","7","0.1243912684567755","7","0.353800168217534","0.07856821057130829","94.99402242033754","92.31934680182422","91.58636498062407","85.86141622391779","91.06708874052121","85.47500797404092","86.7270733982019","84.82108769775503"
"5","Exp-Decay","tou","0.1","14","8","0.11040604822219353","8","0.24736318293231524","0.06443610236138808","91.25744743849245","79.78962972455102","84.98540303354342","81.7406179399558","62.05922122869449","71.84738510077398","76.84298945646891","77.05172417552538"
"6","Exp-Decay","tou","0.12","14","8","0.11040604822219353","8","0.24736318293231524","0.06443610236138808","85.12345593651273","76.66576457182809","82.61046381138321","79.44180066168627","28.168795562815518","66.28710507407362","69.9160413392156","66.54447886156927"
"4","Exp-Decay","tou","0.08","14","8","0.11040604822219353","8","0.24736318293231524","0.06443610236138808","93.15417024985003","86.21581986926358","87.68991648820773","85.16528881024301","85.93814377380045","81.62104304591429","85.461396121271","81.7751305191597"
"2","Exp-Decay","No-Charge","0.1","14","8","0.11315197748386527","8","0.3746858804778869","0.07695846104261171","91.34408081290536","91.72358261832674","88.97541955484785","84.81587258600257","74.02154854095701","82.99146898749309","85.00335486417939","79.6931777932631"
"3","Exp-Decay","No-Charge","0.12","14","8","0.11315197748386527","8","0.3746858804778869","0.07695846104261171","85.13250027423896","82.97507476779579","83.81253382222376","81.13764576679115","46.74491684602216","75.76765605555283","76.2481588724998","68.49727052276567"
"1","Exp-Decay","No-Charge","0.08","14","8","0.11315197748386527","8","0.3746858804778869","0.07695846104261171","94.88834153070378","94.8196746669562","90.89595783120807","86.91199102947004","90.95005093225437","85.2710335863526","86.33274372299215","84.87447812565131"
"5","Exp-Decay","tou","0.1","14","9","0.09400533760826223","9","0.2926605947002549","0.062351235507686904","91.34537810494662","81.06367806301188","83.24238508794915","81.98978018646244","62.09146110608658","71.87907461953084","77.66297304409484","77.03884241564741"
"6","Exp-Decay","tou","0.12","14","9","0.09400533760826223","9","0.2926605947002549","0.062351235507686904","81.25317581979574","74.65582130502347","81.13896452888034","79.72790821023807","28.329767384660542","66.73905193878683","70.31580790531757","65.97879056120905"
"4","Exp-Decay","tou","0.08","14","9","0.09400533760826223","9","0.2926605947002549","0.062351235507686904","93.78427238029258","89.20047388231903","88.53428313684618","84.67797597872493","86.01394521311808","81.3780042433357","85.94674727025594","82.032988304427"
"2","Exp-Decay","No-Charge","0.1","14","9","0.1341070161231816","9","0.36485135869214796","0.08581779065961727","92.05335429944927","88.4708996742374","87.64114019059642","84.04721907409764","73.92341577053516","83.59412122417238","84.64548884435122","79.083111537037"
