"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-ql-epsilon"
"07/25/2026 16:20:19:012 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","ql-epsilon-init","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"1","Q-Learning","No-Charge","0.2","14","10","0.10362770445883895","10","0.3909173476773019","0.07174644264900414","91.82872336381779","88.6000662769176","89.50810466926778","83.9450492650815","76.84537921132994","82.86727482128471","85.06614119414245","79.52046643255864"
"3","Q-Learning","No-Charge","0.6","14","10","0.17613241509378763","10","0.35945902236636756","0.08688027050280063","91.91652498079934","85.36649033316118","87.35289502589737","86.77186162409197","75.16477886235648","82.88152881031114","85.10045782839173","79.55787676423212"
"4","Q-Learning","tou","0.2","14","12","0.0718490359296651","12","0.16218419062379322","0.038555587299308504","83.8779316287815","71.2344144424754","78.50615348551659","75.55838138271565","43.63974398038593","65.1011605498564","71.0193143202795","67.06462606662019"
"6","Q-Learning","tou","0.6","14","11","0.0852019560133704","11","0.21328483087147504","0.05502389849308824","90.2982229378871","77.68393329441206","82.24947387297786","81.53175884888624","62.142785222686484","73.90249951614283","78.93871390016632","73.22823160176553"
"5","Q-Learning","tou","0.4","14","12","0.05962515994587057","12","0.16694579374363347","0.04921353065137439","79.48268061479263","71.08755889980453","74.37808877658725","79.32166996886822","49.79553493972992","69.73220726756476","73.11405003129019","75.33054588053878"
"2","Q-Learning","No-Charge","0.4","14","11","0.11733430516432716","11","0.39787227274389314","0.06911294716477073","92.0728357174811","86.88506343375951","87.74290178373154","83.4024140281037","72.82707008022477","82.08084461409062","85.38916725607012","79.21910253437854"
"1","Q-Learning","No-Charge","0.2","14","11","0.10889130167765419","11","0.39914945887465036","0.07642726614476295","91.80848292359241","86.39035139682828","90.4134079294876","84.25055048534114","76.84258602238407","83.33361183400419","85.179817252318","80.11619533364922"
"3","Q-Learning","No-Charge","0.6","14","11","0.12586021424477278","11","0.4085946789918971","0.07526040663812811","93.10988755017704","88.50019830998602","88.32105322137106","82.8996705053035","75.84335685896126","82.33235905955358","85.04925241828194","79.2515420105875"
"4","Q-Learning","tou","0.2","14","13","0.038734162425932105","13","0.14431210118531626","0.034848768376609426","76.43973728292508","65.8444792366249","65.7825593198179","78.01459043839178","41.82352558115936","63.55434816924495","70.48898865683829","66.97725857680504"
"6","Q-Learning","tou","0.6","14","12","0.08788766940712715","12","0.2337128657842957","0.054930641004777375","87.38974879076467","80.48650085668292","83.5770398333654","82.97752034031468","62.22126839787232","73.5216273072105","78.5401691150573","73.74877621661487"
"5","Q-Learning","tou","0.4","14","13","0.06370941850804149","13","0.17739456899942685","0.04556069000715343","81.9952876179094","70.88798057877445","78.23554623463168","78.3103075654881","49.81052662881662","69.61053194703351","72.3038566448932","73.5269655591011"
