link_id,class,group,position,adt_obs,veh_day_model
l_64,arterial,East,peripheral,10821,16560
l_2179,motorway,MWY,peripheral,95000,143340
l_761,arterial,East,peripheral,18554,34260
l_155,arterial,East,peripheral,27324,37740
l_542,arterial,East,boundary,8869,32820
l_1444,arterial,West,peripheral,3000,360
l_655,arterial,West,peripheral,12815,4020
l_817,arterial,East,peripheral,27324,1860
l_1838,motorway,MWY,peripheral,85000,0
l_314,arterial,West,boundary,9523,0
l_573,arterial,West,peripheral,28822,26820
l_823,arterial,East,peripheral,15906,11160
l_1407,arterial,East,peripheral,20157,0
l_967,arterial,East,boundary,25748,17940
l_551,arterial,West,peripheral,43962,19680
l_1501,arterial,West,peripheral,12815,4020
l_1552,motorway,MWY,peripheral,85000,186000
l_593,arterial,East,peripheral,18554,1380
l_1603,motorway,MWY,peripheral,90000,900
l_2149,motorway,MWY,peripheral,85000,11580
l_1637,motorway,MWY,peripheral,90000,144240
l_2471,arterial,West,peripheral,34625,107160
l_856,arterial,West,boundary,13785,85260
l_161,arterial,East,boundary,38827,10800
l_2228,arterial,CBD,inner,27326,30840
l_657,arterial,East,peripheral,9369,9900
l_943,arterial,West,peripheral,28195,14820
l_760,arterial,East,boundary,8479,40080
l_2329,arterial,West,peripheral,25694,1920
l_607,arterial,West,peripheral,28822,2640
l_23,arterial,CBD,inner,24996,111120
l_946,arterial,West,boundary,12512,13320
l_936,arterial,CBD,inner,8869,27000
l_810,arterial,West,boundary,16700,19560
l_124,arterial,West,peripheral,7783,4500
l_1388,arterial,East,boundary,12615,95100
l_508,arterial,CBD,inner,25486,38280
l_1678,motorway,MWY,peripheral,90000,144240
l_534,arterial,East,peripheral,12000,3060
l_801,arterial,West,peripheral,12562,11820
l_792,arterial,East,peripheral,8771,145740
l_2082,motorway,MWY,boundary,90000,191280
l_905,arterial,CBD,inner,13785,86220
l_67,arterial,East,peripheral,15481,17880
l_221,arterial,CBD,inner,8869,24720
l_644,arterial,CBD,inner,12615,113280
l_923,arterial,West,boundary,16700,5280
l_412,arterial,West,peripheral,25694,3900
l_215,arterial,West,peripheral,17823,10620
l_112,arterial,West,peripheral,43962,19680
l_2683,arterial,West,boundary,90000,0
l_401,arterial,CBD,inner,4804,38940
l_952,arterial,CBD,inner,21939,117240
l_2639,arterial,East,boundary,23275,27780
l_859,arterial,West,peripheral,30484,151500
l_1926,arterial,West,boundary,23275,32820
l_89,arterial,East,peripheral,15481,17880
l_1082,arterial,East,boundary,23275,29580
