"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"paper-figs"
"07/27/2026 07:09:54:385 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"2","Exp-Decay","tou","14","6","6","0.10315747828655955","0.2788854045546148","0.0769684056985562","91.85940339272547","81.79132789475071","83.22967039883225","81.70912650463214","62.1036679933926","74.02540190137982","76.86863817617537","76.82221188402592"
"6","Q-Learning","tou","14","6","6","0.1258968335759561","0.24215938613779098","0.07028247160328459","91.72456755364213","83.81078082379837","86.47990913204406","82.9073778920101","67.83297639743479","77.77391787111353","79.91288002450023","76.9184116922111"
"1","Exp-Decay","No-Charge","14","6","6","0.1222052144158057","0.3050550342383742","0.06978064234107163","91.19592879040671","87.0400543040258","85.68981284723387","82.51426658135104","74.38634039654517","83.62425758900665","85.71595929274773","79.70536788718195"
"5","Q-Learning","No-Charge","14","6","6","0.12224851365752705","0.38678049588311836","0.08141414483229864","92.40393577519713","89.08199949209941","89.4670185878248","83.22342886824993","76.97807855108113","81.69661804468261","85.40192645022933","79.4073357456268"
"4","El Farol","tou","14","5","5","0.20564336657554744","0.6818119555210121","0.1459073294927215","94.56398649077614","95.01039542095424","91.93393693265807","86.96741967454774","86.6098990844003","88.68659212039154","87.83559707896647","83.67053474165678"
"3","El Farol","No-Charge","14","5","5","0.17946057630652756","0.7729679922962703","0.13566329968109944","94.27902359430047","93.35768806911888","91.71222126988044","88.15385960619679","91.10291682357263","87.98181170648235","89.37507686073955","83.72722733820949"
"2","Exp-Decay","tou","14","7","7","0.07440798510073125","0.19986491614287563","0.05943273687668806","86.32929716543245","81.95770580505454","83.899110040493","81.3471749542188","61.89145000388035","72.1996291731874","77.10402296454585","76.3706779191138"
"6","Q-Learning","tou","14","7","7","0.08516272939609112","0.21632247201004295","0.05236255619451159","89.36451707923538","74.80517128523854","78.36907007668918","82.8853801969711","66.81998612488812","76.3992715841626","79.58983093947452","76.64143585670075"
"1","Exp-Decay","No-Charge","14","7","7","0.1243912684567755","0.353800168217534","0.07856821057130829","92.14687605728899","85.67719784258573","87.07801292962263","83.59096682254594","74.2689318677039","83.18477722679363","85.07568968443648","79.40651883306684"
"5","Q-Learning","No-Charge","14","7","7","0.11772534168695606","0.4097798403844808","0.06670297754852948","92.29028222253991","87.48743056001625","86.61692170126726","81.76524942395555","76.93788470194056","82.32974015429411","84.79015526304295","79.60520765533397"
"4","El Farol","tou","14","6","6","0.16737447960523338","0.7221978639601018","0.1143972259764933","94.75694806043914","94.93311621871048","92.69399704151121","84.85874483765267","86.77939988266118","89.22887050166403","88.63285158149857","83.77739585795973"
"6","Q-Learning","tou","14","8","8","0.09866050956991143","0.23595948094715394","0.05260856785655954","88.58531006101201","77.58335166343024","79.10348009513862","78.81499880019902","56.68724628872712","75.17783587217251","78.69526261012868","76.4721665172868"
"2","Exp-Decay","tou","14","8","8","0.11040604822219353","0.24736318293231524","0.06443610236138808","91.25744743849245","79.78962972455102","84.98540303354342","81.7406179399558","62.05922122869449","71.84738510077398","76.84298945646891","77.05172417552538"
"3","El Farol","No-Charge","14","6","6","0.19184815500832672","0.7777728680288515","0.10913810061359122","94.62700864751278","93.87212985228305","90.3287677829731","87.21312700383271","91.05336031276204","88.19445274478468","89.18261481110501","83.93597516438868"
"1","Exp-Decay","No-Charge","14","8","8","0.11315197748386527","0.3746858804778869","0.07695846104261171","91.34408081290536","91.72358261832674","88.97541955484785","84.81587258600257","74.02154854095701","82.99146898749309","85.00335486417939","79.6931777932631"
"5","Q-Learning","No-Charge","14","8","8","0.11476781082761962","0.3311555887289145","0.07385599341730756","92.40103700639641","84.49780387941894","88.61541830676545","83.62146943515593","76.09265576908209","82.26350027838177","85.28950533030515","78.62653431341855"
"6","Q-Learning","tou","14","9","9","0.08372510218854946","0.2610291480517331","0.05957438925378224","90.43756361806624","77.89600365312477","85.74505297529993","79.64611129401513","52.481274989238464","73.14885293306742","77.68075512886267","75.85542390472801"
"2","Exp-Decay","tou","14","9","9","0.09400533760826223","0.2926605947002549","0.062351235507686904","91.34537810494662","81.06367806301188","83.24238508794915","81.98978018646244","62.09146110608658","71.87907461953084","77.66297304409484","77.03884241564741"
"4","El Farol","tou","14","7","7","0.17931271143160044","0.7469044432256611","0.12433782815660492","94.50685520352923","94.3311335430518","92.9448716572424","86.5059272190339","90.51835417744795","89.28406374493045","88.45747502435947","84.0050774969718"
"3","El Farol","No-Charge","14","7","7","0.2102663220894989","0.7373097803025961","0.11493733226174732","94.91217073106542","93.30628736326685","92.36595657774122","85.6740496993778","90.93105576661483","88.14900771940724","89.49814244819883","83.94999127978363"
"1","Exp-Decay","No-Charge","14","9","9","0.1341070161231816","0.36485135869214796","0.08581779065961727","92.05335429944927","88.4708996742374","87.64114019059642","84.04721907409764","73.92341577053516","83.59412122417238","84.64548884435122","79.083111537037"
"5","Q-Learning","No-Charge","14","9","9","0.13629353251681908","0.4026679274683009","0.07016994328194694","92.83943407461594","87.87386862363509","87.32954101498912","83.10197074245032","73.06069771468927","82.2245774413602","84.88713135109245","78.91943560999248"
"6","Q-Learning","tou","14","10","10","0.0679436599975184","0.16669806707274273","0.04611067203842429","81.15374065779721","74.33203329011836","77.8676613850895","80.74758938912784","52.61904800742556","71.32132475465326","75.27671281490068","74.74507319640841"
"2","Exp-Decay","tou","14","10","10","0.11896091199242413","0.28802162430227624","0.053802042779256015","92.4844049203593","81.78536067488346","84.02097200321029","79.47926355275871","62.28521497484076","71.97592787389866","76.64534648167974","76.76660229934258"
"4","El Farol","tou","14","8","8","0.20030033900425148","0.8186100294041587","0.11755459665735504","95.10085225178372","94.46097773921947","94.07330375260102","86.74472859864517","90.5177466720769","89.07335502417125","89.64470624275503","83.85324529442539"
"6","Q-Learning","tou","14","11","11","0.07817436099603617","0.2425830341311776","0.0512425477556929","88.17460008035978","77.94703243908657","79.9096875196627","80.2991583733015","52.61762469716218","70.1478483829255","74.45153601473844","75.27931941419753"
"1","Exp-Decay","No-Charge","14","10","10","0.12908212330435348","0.32729724268812094","0.07497309676617138","91.46013906650812","87.58710170108796","87.28848270401564","82.67165646155314","71.60161915735641","83.55061281960583","84.66683099309348","79.53650161921232"
"5","Q-Learning","No-Charge","14","10","10","0.10957547097233644","0.40379879282454817","0.07313902140587467","91.86288448012981","88.07038030776673","87.99681066693631","83.47339195107577","72.95743493552932","82.24608639818032","84.92282247895874","78.87070795790582"
"3","El Farol","No-Charge","14","8","8","0.14196897050707974","0.706718102877946","0.12000954137387913","95.23134378832009","94.09732927065372","91.63332556621087","86.7797690058938","90.99238138178715","88.17076660428272","89.44588842324936","84.15965065406374"
"2","Exp-Decay","tou","14","11","11","0.09200109071734418","0.2669449478231704","0.07684444873108867","90.28403205842366","78.86833002392493","84.78957629739125","81.0706683289299","62.27736928348814","72.10618823770717","77.12133691104795","77.03104882591292"
"6","Q-Learning","tou","14","12","12","0.05962515994587057","0.16694579374363347","0.04921353065137439","79.48268061479263","71.08755889980453","74.37808877658725","79.32166996886822","49.79553493972992","69.73220726756476","73.11405003129019","75.33054588053878"
"1","Exp-Decay","No-Charge","14","11","11","0.147632114928032","0.3898251657160209","0.07768425929235663","92.29294686600898","85.20900983460758","87.44453609914419","83.50492318725644","71.58235906343255","83.57730722640665","84.84206467364014","79.92007801160189"
"4","El Farol","tou","14","9","9","0.1569317440755655","0.7610767156929144","0.11423802114373732","95.2222117618524","94.13701513373022","90.74210039147788","87.46630665279659","90.48854631141438","89.05473048285153","89.04443806819671","84.01132706291025"
"5","Q-Learning","No-Charge","14","11","11","0.11733430516432716","0.39787227274389314","0.06911294716477073","92.0728357174811","86.88506343375951","87.74290178373154","83.4024140281037","72.82707008022477","82.08084461409062","85.38916725607012","79.21910253437854"
"2","Exp-Decay","tou","14","12","12","0.08282968364242661","0.3216981718057344","0.06482450688362776","91.12922629789071","76.93248744517764","84.83837670261505","82.23518120222104","62.42584675558988","72.45404079439986","76.7332263745354","77.3129876373133"
"3","El Farol","No-Charge","14","9","9","0.1497860892576046","0.7454822171898658","0.1355185358274521","93.65589591365057","92.5928452778241","91.3045801582874","85.09195025371518","91.01321082385236","88.09964355558827","89.73140317002986","83.9908396100327"
"6","Q-Learning","tou","14","13","13","0.06370941850804149","0.17739456899942685","0.04556069000715343","81.9952876179094","70.88798057877445","78.23554623463168","78.3103075654881","49.81052662881662","69.61053194703351","72.3038566448932","73.5269655591011"
"1","Exp-Decay","No-Charge","14","12","12","0.09512914559996284","0.34734994135230995","0.06743770063167959","92.30352409543056","85.21818991242782","86.80390489072305","83.14893323208497","72.34269645470039","83.11373773496331","85.00822837360778","79.7381439342501"
"2","Exp-Decay","tou","14","13","13","0.08031094133003167","0.2932620725954054","0.06370067708210714","91.98148905220181","78.5297548290569","83.8072833206788","80.5364941777973","62.50612698141081","72.78180797180966","76.81479951233946","76.9248078391127"
"5","Q-Learning","No-Charge","14","12","12","0.10911699026671533","0.3481921616292952","0.08217074674928679","93.54039939128158","91.37166250851844","90.74072076900696","84.68550132509849","72.81281775398203","83.04683316585701","85.4327475929471","79.70203877869277"
"4","El Farol","tou","14","10","10","0.1806945586330655","0.8425285521331386","0.09555168921446978","94.21694585327482","93.5721711551797","92.8441517206659","85.3826334323515","90.50613185196268","89.36790652530955","88.97031172954595","84.0479840933321"
"6","Q-Learning","tou","14","14","14","0.0726352020723245","0.2213374340249918","0.049534518531421545","79.96856889898925","75.26525250432498","77.61393147874554","79.54803704588322","48.03054836611919","68.64171245982637","71.53409291191444","74.33130182941493"
"3","El Farol","No-Charge","14","10","10","0.16833059078547113","0.8759357137772561","0.12157121723910548","95.38035096914587","94.67381651384629","92.42352899688528","86.58924948295125","91.01896587887839","88.44770209684081","89.62407223533245","83.76629292368844"
"2","Exp-Decay","tou","14","14","14","0.09393602198069897","0.27009076707115204","0.07344946993494407","91.29117035177616","84.62486670338791","85.89177226381221","82.73436322498583","62.469625194979045","72.72984677003156","76.96400909740318","75.20530828209534"
"1","Exp-Decay","No-Charge","14","13","13","0.14312117885607442","0.3177276226354864","0.0689908376871572","92.24236975575535","86.43795239273759","85.3691753166789","81.9794579120251","72.25143460062935","82.8998727282954","85.58021516068217","79.95370643297602"
"5","Q-Learning","No-Charge","14","13","13","0.13105627710417544","0.42465023463954693","0.07754575350698044","93.09107123277158","87.9274075619006","89.31817367503993","83.75307271632064","72.80352657124725","82.48858230037642","85.51468667893755","79.78900138676657"
"4","El Farol","tou","14","11","11","0.1635963767137308","0.7036688641819053","0.14127639846993972","95.11863481517885","95.15435340034273","91.13570501385081","85.52045795179272","90.52897884564429","88.54911337831331","88.64639946096474","84.0773900734607"
"1","Exp-Decay","No-Charge","14","14","14","0.12478636189357539","0.27486781041319963","0.07288915682717567","91.26427020022292","85.49466013367773","86.51813575593447","82.71194058739269","72.30340370716034","83.38058828480517","84.91409794921545","79.68094576253286"
"3","El Farol","No-Charge","14","11","11","0.20531108072837317","0.8243295512429625","0.12770085157517294","94.7748708794319","93.76077746069485","92.32999048724646","87.35221199736246","91.01898318651845","88.6708089907936","89.76486572125955","84.19177371690887"
"5","Q-Learning","No-Charge","14","14","14","0.10899078398617254","0.4202930897217343","0.07088545455120814","92.91134396282993","88.97519763231286","88.85563746670364","84.07296921883791","72.84023332227552","82.37176769990911","85.67357131247459","80.01487385502641"
"4","El Farol","tou","14","12","12","0.16933544283564994","0.6967021999006456","0.12794115840621947","94.13399919324942","94.04884925097235","92.47541852872588","87.0937345962543","90.51832764218639","88.49027527012203","88.60384475860172","84.3016793672874"
"3","El Farol","No-Charge","14","12","12","0.18887501295527057","0.8975552783505104","0.14220368181324308","94.77746618503356","94.88814268691229","92.1013259941353","87.34946189847172","91.05621576784979","88.7154839209082","89.88470381669138","84.25720346406429"
"4","El Farol","tou","14","13","13","0.1854975754538478","0.7448804656160437","0.13129303952427815","94.85429442294625","94.09149295755645","92.37383491802342","87.52972112748645","91.11495203696624","88.79432777798465","88.6337522575015","84.57084202746681"
"3","El Farol","No-Charge","14","13","13","0.17269017824993643","0.6799030108958201","0.13004034836560358","94.47244666230623","95.10139538770014","90.88813798718729","85.83066198893204","91.02140571532827","88.21997264058538","89.74297999678934","84.2900859778187"
"4","El Farol","tou","14","14","14","0.16728662200327385","0.6941904672436735","0.10074246735458522","94.67540242097502","93.470067218042","91.65458723101132","84.90314613989639","91.08397557720576","88.64469068992827","89.08205679864533","84.66288236411961"
"3","El Farol","No-Charge","14","14","14","0.17614167610141832","0.7802439352335243","0.10829981082122184","94.19278680004628","93.45312717713713","93.23563122985868","85.05179773608624","91.01590202144946","89.0527912448363","89.75262019146834","84.25786395146972"
