id,adt
l_1471,34625
l_1472,30388
l_1473,43962
l_1474,19825
l_1475,8296
l_1476,18012
l_1477,18012
l_1478,24996
l_1479,25748
l_1480,10658
l_1481,21939
l_1482,14414
l_1483,43962
l_1484,15481
l_1485,15481
l_1486,19825
l_1487,16293
l_1488,19825
l_1489,16700
l_1490,22621
l_1491,8479
l_1492,8479
l_1493,25694
l_1494,25694
l_1495,25694
l_1496,25694
l_1497,25694
l_1498,25694
l_1499,25694
l_1500,12815
l_1501,12815
l_1502,4318
l_1503,18554
l_1504,18554
l_1505,21939
l_1506,10821
l_1507,12512
l_1508,25748
l_1509,16204
l_1510,16204
l_1511,11780
l_1512,16204
l_1513,16204
l_1514,16204
l_1515,25486
l_1516,15481
l_1517,15481
l_1518,28195
l_1519,34625
l_1520,34625
l_1521,15481
l_1522,18554
l_1523,18554
l_1524,25748
l_1525,25748
l_1526,27324
l_1527,8479
l_1528,8479
l_1529,9354
l_1530,18012
l_1531,18012
l_1532,7783
l_1533,15481
l_1534,95000
l_1535,18554
l_1536,95000
l_1537,95000
l_1538,18554
l_1539,18554
l_1540,90000
l_1541,90000
l_1542,18554
l_1543,85000
l_1544,85000
l_1545,95000
l_1546,95000
l_1547,95000
l_1548,85000
l_1549,90000
l_1550,90000
l_1551,90000
l_1552,85000
l_1553,15177
l_1554,90000
l_1555,25486
l_1556,25486
l_1557,11780
l_1558,27326
l_1559,16204
l_1560,90000
l_1561,6000
l_1562,10862
l_1563,90000
l_1564,90000
l_1565,85000
l_1566,21939
l_1567,95000
l_1568,12000
l_1569,90000
l_1570,90000
l_1571,16734
l_1572,16734
l_1573,43962
l_1574,18012
l_1575,18012
l_1576,12562
l_1577,12562
l_1578,12562
l_1579,8479
l_1580,8479
l_1581,8479
l_1582,8479
l_1583,7124
l_1584,8479
l_1585,8479
l_1586,8479
l_1587,28195
l_1588,16700
l_1589,4804
l_1590,21939
l_1591,28195
l_1592,4804
l_1593,21939
l_1594,12259
l_1595,24996
l_1596,24996
l_1597,30388
l_1598,90000
l_1599,30388
l_1600,16293
l_1601,16293
l_1602,16293
l_1603,90000
l_1604,25748
l_1605,15906
l_1606,28822
l_1607,24996
l_1608,9627
l_1609,12562
l_1610,20157
l_1611,9627
l_1612,20157
l_1613,17823
l_1614,20157
