id,start,end,maxspeed,streetName,junction
l_261,n_id1195,n_id1202,30 km/h,Symonds Street,None
l_262,n_id259,n_id256,50 km/h,Bond Street,None
l_263,n_id1389,n_id1392,50 km/h,Broadway,None
l_264,n_id1187,n_id1195,30 km/h,Symonds Street,None
l_265,n_id115,n_id116,50 km/h,Jervois Road,None
l_266,n_id989,n_id957,50 km/h,Khyber Pass Road,None
l_267,n_id879,n_id869,50 km/h,Khyber Pass Road,None
l_268,n_id120,n_id116,50 km/h,Shelly Beach Road,None
l_269,n_id116,n_id118,50 km/h,Jervois Road,None
l_270,n_id755,n_id735,50 km/h,Ian McKinnon Drive,None
l_271,n_id683,n_id666,50 km/h,Newton Road,None
l_272,n_id743,n_id755,50 km/h,Upper Queen Street,None
l_273,n_id861,n_id866,30 km/h,Karangahape Road,None
l_274,n_id869,n_id857,50 km/h,Khyber Pass Road,None
l_275,n_id190,n_id199,50 km/h,College Hill,None
l_276,n_id666,n_id673,50 km/h,Upper Queen Street,None
l_277,n_id260,n_id262,40 km/h,Ponsonby Road,None
l_278,n_id308,n_id313,50 km/h,New North Road,None
l_279,n_id325,n_id330,50 km/h,New North Road,None
l_280,n_id773,n_id765,50 km/h,Newton Road,None
l_281,n_id176,n_id183,50 km/h,Great North Road,None
l_282,n_id296,n_id292,50 km/h,Williamson Avenue,None
l_283,n_id394,n_id444,30 km/h,Wellington Street,None
l_284,n_id18,n_id19,50 km/h,Jervois Road,None
l_285,n_id15,n_id18,50 km/h,Jervois Road,None
l_286,n_id19,n_id20,50 km/h,Jervois Road,None
l_287,n_id173,n_id188,50 km/h,Richmond Road,None
l_288,n_id82,n_id90,50 km/h,Richmond Road,None
l_289,n_id90,n_id114,50 km/h,Richmond Road,None
l_290,n_id648,n_id655,30 km/h,Wellesley Street W,None
l_291,n_id1406,n_id1411,50 km/h,Broadway,None
l_292,n_id88,n_id102,50 km/h,Great North Road,None
l_293,n_id122,n_id108,50 km/h,Williamson Avenue,None
l_294,n_id1391,n_id1384,50 km/h,Carlton Gore Road,None
l_295,n_id1334,n_id1332,30 km/h,Beach Road,None
l_296,n_id1304,n_id1307,30 km/h,Alten Road,None
l_297,n_id17,n_id21,50 km/h,Great North Road,None
l_298,n_id283,n_id289,50 km/h,College Hill,None
